Course Number,Course Name,Area,Econ,Tech,Intel,IS,Mil Ops,TSV,USNP,Other,Notes
SEST-6571,Security Issues in East Asia,AREA,,,,IS,,,,,
SEST-6572,"Europe, Security & Competition",AREA,,,,IS,,,,,
SEST-6573,Security Issues of South Asia,AREA,,,,IS,,TSV,,,
SEST-6574,National Security Surveillance,,,,INTEL,,,,USNP,,
SEST-6575,Cyber Pol for Nat and Econ Security,,,TECH,,,,,,,
SEST-6576,Chinese Open Source Analysis,,,TECH,INTEL,,,,,,
SEST-6577,GIS for Security Studies,,,TECH,INTEL,,,,,,
SEST-6579,Warfare in the Middle East,AREA,,,,IS,MIL OPS,TSV,,,
SEST-6580,Stability Challenges: South/SE Asia,AREA,,,,IS,,TSV,,,
SEST-6581,Challenges of Chem/Bio Weapons,,,TECH,,IS,,,,,
SEST-6582,Defense & Security Policies of US Allies and Partners Indo-Pacific,AREA,,,,IS,,,USNP,,
SEST-6583,China and its Military,AREA,,,,IS,MIL OPS,,,,
SEST-6584,Global Cyber Threats,,,TECH,INTEL,,MIL OPS,,,,
SEST-6585,Security and Governance in North Africa,AREA,,,,IS,,,,,
SEST-6586,Europe: Radicalism and Terrorism,AREA,,,,IS,,TSV,,,
SEST-6587,Technology Policy Across Borders ,,,TECH,,IS,,,,,
SEST-6589,Central Asia & South Caucasus,AREA,,,,IS,,,,,
SEST-6591,Political Economy of Contemporary Conflict,,ECON,,,IS,,TSV,USNP,,
SEST-6592,International Arms Trade,,ECON,,,IS,,,,,
SEST-6593,Post 9/11Terror/Intel Analysis,,,,INTEL,,,TSV,,,
SEST-6594,Energy and Security,,,,,IS,,,USNP,,
SEST-6595,Climate Change in the US: Econ and Nat Sec,,,,,IS,,,,,
SEST-6596,Budgeting for US Nat Defense,,ECON,,,,,,USNP,,
SEST-6597,LGBTQ Issues in National Security,,,,,,,,USNP,,
SEST-6598,Military Campaign Analysis: Decision Making in War,,,,,,MIL OPS,,USNP,,
SEST-6599,Irregular War in Film,,,,,IS,MIL OPS,,USNP,,
SEST-6600,Hate Groups and Social Media,,,TECH,,IS,,TSV,USNP,,
SEST-6601,Social Media Impact on National Sec,,,TECH,,,,,USNP,,
SEST-6603,International Law and Security,,,,,IS,,,,,
SEST-6604,Media and National Security,,,TECH,,,,,USNP,,
SEST-6605,Terrorism: M East & N Africa,AREA,,,,IS,,TSV,,,
SEST-6606,National Security Law,,,,,,MIL OPS,TSV,USNP,,
SEST-6607,Counterintelligence Today,,,,INTEL,,,,USNP,,
SEST-6608,DPRK Nuclear/Missile Programs,AREA,,TECH,,IS,,,,,
SEST-6609,Strat Engagement & Ethical AI,,,TECH,,,,,,,
SEST-6610,Civil-Military Relations,,,,,,MIL OPS,,USNP,,
SEST-6611,Covert Action/Counterintelligence,,,,INTEL,,,,USNP,,
SEST-6612,Chinese Economic Espionage & Strategic Competition,AREA,ECON,,INTEL,,,,,,
SEST-6613,European Intelligence and Strategic Cooperation,AREA,,,INTEL,IS,,,,,
SEST-6614,Intelligence and Psychology ,,,,INTEL,,,,,,
SEST-6615,Transatlantic Security & Defense,AREA,,,,IS,,,USNP,,
SEST-6616,National Security & Climate Change,,,,,IS,,,USNP,,
SEST-6617,"Race, Religion, and Terrorism",,,,,,,TSV,,,
SEST-6618,Examining Econ Devt in Africa,AREA,ECON,,,IS,,,,,
SEST-6619,Human Intelligence Operations,,,,INTEL,,,,USNP,,
SEST-6620,National Security Resilience and Crisis Management,,,,,,,,USNP,,
SEST-6621,Strategic Red Teaming,,,,INTEL,,MIL OPS,,USNP,,
SEST-6622,Science and Grand Strategy,,,TECH,,,,,,,
SEST-6623,Great Power Compet in Lat Amer,AREA,,,,IS,,,USNP,,
SEST-6624,Thinking Critically: Intelligence Policy,,,,INTEL,,,,USNP,,
SEST-6625,"Allies, Partners, & US Nat Sec",,,,,IS,,,USNP,,
SEST-6626,Oil and International Security,,ECON,,,IS,,,,,
SEST-6627,Adv Tech/Compet/Nat Security,,,TECH,,,,,,,
SEST-6628,"Trafficking: Humans, Drugs, & Arms",,,,,IS,,TSV,,,
SEST-6629,Force Planning,,,,,,MIL OPS,,USNP,,
SEST-6630,Countering Cybercrime,,ECON,TECH,,,,,,,
SEST-6631,Outer Space/Strat Capabilites,,,TECH,,IS,MIL OPS,,,,
SEST-6632,Space Policy and Power,,,TECH,,,,,USNP,,
SEST-6634 ,China and the International Order,AREA,,,,IS,,,,,
SEST-6635,Hands-On Cyber Forensics,,,TECH,,,,,,,
SEST-6636,Grand Strategy ,,,,,IS,,,USNP,,
SEST-6637,National Security and Human Rights,,,,,,,,USNP,,
SEST-6638/JCIV 4500,Forgotten Women in Mass Crime,,,,,,,,,,
SEST-6639,(En)Gendered Security,,,,,IS,,,,,
SEST-6640,Decision-making in Stressful Environments,,,,,IS,,,,,
SEST-6643,The Business of National Security,,ECON,,,,,,USNP,,
SEST-6644,The Economics of War  ,,ECON,,,,MIL OPS,,USNP,,
SEST-6646,U.S. Defense Policy Middle East,AREA,,,,IS,,,USNP,,
SEST-6647,"Coups, Uprisings, & Rebellions",,,,,IS,,TSV,,,
SEST-6649,Hands-on Unconven Technologies,,,TECH,,,MIL OPS,,,,
SEST-6650,Hands-on Open-source intelligence,,,TECH,INTEL,,,,,,
SEST-6651,CT Strategy and Policy,,,,,,,TSV,USNP,,
SEST-6652,Iran's National Security Policies ,AREA,,,,IS,,,,,
SEST-6653,Hands On Cyber Investigations,,,TECH,,,,,,,
